Win#   	MACD-8  	roll  	rolls since shift
09437  	f1930be0  	4052945888  	429496
09438  	f1999999  	4053375385  	429497
09439  	f1a02752  	4053804882  	429497
09440  	f1a6b50b  	4054234379  	429497
09441  	f1ad42c3  	4054663875  	429496
09442  	f1b3d07c  	4055093372  	429497
09443  	f1ba5e35  	4055522869  	429497
09444  	f1c0ebee  	4055952366  	429497
09445  	f1c779a6  	4056381862  	429496
09446  	f1ce075f  	4056811359  	429497
09447  	f1d49518  	4057240856  	429497
09448  	f1db22d0  	4057670352  	429496
09449  	f1e1b089  	4058099849  	429497
09450  	f1e83e42  	4058529346  	429497
09451  	f1eecbfb  	4058958843  	429497
09452  	f1f559b3  	4059388339  	429496
09453  	f1fbe76c  	4059817836  	429497
09454  	f2027525  	4060247333  	429497
09455  	f20902de  	4060676830  	429497
09456  	f20f9096  	4061106326  	429496
09457  	f2161e4f  	4061535823  	429497
09458  	f21cac08  	4061965320  	429497
09459  	f22339c0  	4062394816  	429496
09460  	f229c779  	4062824313  	429497
09461  	f2305532  	4063253810  	429497
09462  	f236e2eb  	4063683307  	429497
09463  	f23d70a3  	4064112803  	429496
09464  	f243fe5c  	4064542300  	429497
09465  	f24a8c15  	4064971797  	429497
09466  	f25119ce  	4065401294  	429497
09467  	f257a786  	4065830790  	429496
09468  	f25e353f  	4066260287  	429497
09469  	f264c2f8  	4066689784  	429497
09470  	f26b50b1  	4067119281  	429497
09471  	f271de69  	4067548777  	429496
09472  	f2786c22  	4067978274  	429497
09473  	f27ef9db  	4068407771  	429497
09474  	f2858793  	4068837267  	429496
09475  	f28c154c  	4069266764  	429497
09476  	f292a305  	4069696261  	429497
09477  	f29930be  	4070125758  	429497
09478  	f29fbe76  	4070555254  	429496
09479  	f2a64c2f  	4070984751  	429497
09480  	f2acd9e8  	4071414248  	429497
09481  	f2b367a1  	4071843745  	429497
09482  	f2b9f559  	4072273241  	429496
09483  	f2c08312  	4072702738  	429497
09484  	f2c710cb  	4073132235  	429497
09485  	f2cd9e83  	4073561731  	429496
09486  	f2d42c3c  	4073991228  	429497
09487  	f2dab9f5  	4074420725  	429497
09488  	f2e147ae  	4074850222  	429497
09489  	f2e7d566  	4075279718  	429496
09490  	f2ee631f  	4075709215  	429497
09491  	f2f4f0d8  	4076138712  	429497
09492  	f2fb7e91  	4076568209  	429497
09493  	f3020c49  	4076997705  	429496
09494  	f3089a02  	4077427202  	429497
09495  	f30f27bb  	4077856699  	429497
09496  	f315b573  	4078286195  	429496
09497  	f31c432c  	4078715692  	429497
09498  	f322d0e5  	4079145189  	429497
09499  	f3295e9e  	4079574686  	429497
09500  	f32fec56  	4080004182  	429496
09501  	f3367a0f  	4080433679  	429497
09502  	f33d07c8  	4080863176  	429497
09503  	f3439581  	4081292673  	429497
09504  	f34a2339  	4081722169  	429496
09505  	f350b0f2  	4082151666  	429497
09506  	f3573eab  	4082581163  	429497
09507  	f35dcc63  	4083010659  	429496
09508  	f3645a1c  	4083440156  	429497
09509  	f36ae7d5  	4083869653  	429497
09510  	f371758e  	4084299150  	429497
09511  	f3780346  	4084728646  	429496
09512  	f37e90ff  	4085158143  	429497
09513  	f3851eb8  	4085587640  	429497
09514  	f38bac71  	4086017137  	429497
09515  	f3923a29  	4086446633  	429496
09516  	f398c7e2  	4086876130  	429497
09517  	f39f559b  	4087305627  	429497
09518  	f3a5e354  	4087735124  	429497
09519  	f3ac710c  	4088164620  	429496
09520  	f3b2fec5  	4088594117  	429497
09521  	f3b98c7e  	4089023614  	429497
09522  	f3c01a36  	4089453110  	429496
09523  	f3c6a7ef  	4089882607  	429497
09524  	f3cd35a8  	4090312104  	429497
09525  	f3d3c361  	4090741601  	429497
09526  	f3da5119  	4091171097  	429496
09527  	f3e0ded2  	4091600594  	429497
09528  	f3e76c8b  	4092030091  	429497
09529  	f3edfa44  	4092459588  	429497
09530  	f3f487fc  	4092889084  	429496
09531  	f3fb15b5  	4093318581  	429497
09532  	f401a36e  	4093748078  	429497
09533  	f4083126  	4094177574  	429496
09534  	f40ebedf  	4094607071  	429497
09535  	f4154c98  	4095036568  	429497
09536  	f41bda51  	4095466065  	429497
09537  	f4226809  	4095895561  	429496
09538  	f428f5c2  	4096325058  	429497
09539  	f42f837b  	4096754555  	429497
09540  	f4361134  	4097184052  	429497
09541  	f43c9eec  	4097613548  	429496
09542  	f4432ca5  	4098043045  	429497
09543  	f449ba5e  	4098472542  	429497
09544  	f4504816  	4098902038  	429496
09545  	f456d5cf  	4099331535  	429497
09546  	f45d6388  	4099761032  	429497
09547  	f463f141  	4100190529  	429497
09548  	f46a7ef9  	4100620025  	429496
09549  	f4710cb2  	4101049522  	429497
09550  	f4779a6b  	4101479019  	429497
09551  	f47e2824  	4101908516  	429497
09552  	f484b5dc  	4102338012  	429496
09553  	f48b4395  	4102767509  	429497
09554  	f491d14e  	4103197006  	429497
09555  	f4985f07  	4103626503  	429497
09556  	f49eecbf  	4104055999  	429496
09557  	f4a57a78  	4104485496  	429497
09558  	f4ac0831  	4104914993  	429497
09559  	f4b295e9  	4105344489  	429496
09560  	f4b923a2  	4105773986  	429497
09561  	f4bfb15b  	4106203483  	429497
09562  	f4c63f14  	4106632980  	429497
09563  	f4cccccc  	4107062476  	429496
09564  	f4d35a85  	4107491973  	429497
09565  	f4d9e83e  	4107921470  	429497
09566  	f4e075f7  	4108350967  	429497
09567  	f4e703af  	4108780463  	429496
09568  	f4ed9168  	4109209960  	429497
09569  	f4f41f21  	4109639457  	429497
09570  	f4faacd9  	4110068953  	429496
09571  	f5013a92  	4110498450  	429497
09572  	f507c84b  	4110927947  	429497
09573  	f50e5604  	4111357444  	429497
09574  	f514e3bc  	4111786940  	429496
09575  	f51b7175  	4112216437  	429497
09576  	f521ff2e  	4112645934  	429497
09577  	f5288ce7  	4113075431  	429497
09578  	f52f1a9f  	4113504927  	429496
